Player,Team,Position,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FG_Pct,3P_Pct,FT_Pct,Player_Efficiency_Rating,Win_Shares,Box_Plus_Minus,Usage_Rate,Value_Over_Replacement,Win_Shares_Per_48,Season
Shai Gilgeous-Alexander,OKC,PG,76.0,34.2,32.7,5.0,6.4,1.7,1.0,2.4,0.519,0.375,0.898,30.7,16.7,11.5,34.8,8.9,0.309,2025
Giannis Antetokounmpo,MIL,PF,67.0,34.2,30.4,11.9,6.5,0.9,1.2,3.1,0.601,0.222,0.617,30.5,11.5,9.5,35.2,6.6,0.241,2025
Nikola Jokić,DEN,C,70.0,36.7,29.6,12.7,10.2,1.8,0.6,3.3,0.576,0.417,0.8,32.0,16.4,13.3,29.5,9.8,0.307,2025
Luka Dončić,2TM,PG,50.0,35.4,28.2,8.2,7.7,1.8,0.4,3.6,0.45,0.368,0.782,24.1,5.9,6.7,33.9,3.9,0.16,2025
Luka Dončić,2TM,PG,50.0,35.4,28.2,8.2,7.7,1.8,0.4,3.6,0.45,0.368,0.782,24.2,2.5,6.9,33.1,1.8,0.155,2025
Luka Dončić,2TM,PG,50.0,35.4,28.2,8.2,7.7,1.8,0.4,3.6,0.45,0.368,0.782,23.9,3.4,6.5,34.5,2.1,0.164,2025
Luka Dončić,DAL,PG,22.0,35.7,28.1,8.3,7.8,2.0,0.4,3.4,0.464,0.354,0.767,24.1,5.9,6.7,33.9,3.9,0.16,2025
Luka Dončić,DAL,PG,22.0,35.7,28.1,8.3,7.8,2.0,0.4,3.4,0.464,0.354,0.767,24.2,2.5,6.9,33.1,1.8,0.155,2025
Luka Dončić,DAL,PG,22.0,35.7,28.1,8.3,7.8,2.0,0.4,3.4,0.464,0.354,0.767,23.9,3.4,6.5,34.5,2.1,0.164,2025
Luka Dončić,LAL,PG,28.0,35.1,28.2,8.1,7.5,1.6,0.4,3.7,0.438,0.379,0.791,24.1,5.9,6.7,33.9,3.9,0.16,2025
Luka Dončić,LAL,PG,28.0,35.1,28.2,8.1,7.5,1.6,0.4,3.7,0.438,0.379,0.791,24.2,2.5,6.9,33.1,1.8,0.155,2025
Luka Dončić,LAL,PG,28.0,35.1,28.2,8.1,7.5,1.6,0.4,3.7,0.438,0.379,0.791,23.9,3.4,6.5,34.5,2.1,0.164,2025
Anthony Edwards,MIN,SG,79.0,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,20.1,8.4,4.3,31.4,4.6,0.14,2025
Jayson Tatum,BOS,PF,72.0,36.4,26.8,8.7,6.0,1.1,0.5,2.9,0.452,0.343,0.814,21.7,9.5,5.2,31.2,4.8,0.174,2025
Kevin Durant,PHO,PF,62.0,36.5,26.6,6.0,4.2,0.8,1.2,3.1,0.527,0.43,0.839,21.2,5.2,3.2,28.7,3.0,0.111,2025
Tyrese Maxey,PHI,PG,52.0,37.7,26.3,3.3,6.1,1.8,0.4,2.4,0.437,0.337,0.879,19.5,3.8,2.0,29.8,2.0,0.094,2025
Cade Cunningham,DET,PG,70.0,35.0,26.1,6.1,9.1,1.0,0.8,4.4,0.469,0.356,0.846,20.6,5.9,3.9,33.2,3.7,0.115,2025
Jalen Brunson,NYK,PG,65.0,35.4,26.0,2.9,7.3,0.9,0.1,2.5,0.488,0.383,0.821,21.6,8.3,3.3,29.5,3.1,0.172,2025
Paolo Banchero,ORL,PF,46.0,34.4,25.9,7.5,4.8,0.8,0.6,3.0,0.452,0.32,0.727,20.0,3.5,3.5,33.6,2.2,0.106,2025
Devin Booker,PHO,SG,75.0,37.3,25.6,4.1,7.1,0.9,0.2,2.9,0.461,0.332,0.894,19.3,6.4,0.4,29.3,1.7,0.111,2025
LaMelo Ball,CHO,PG,47.0,32.0,25.2,4.9,7.4,1.1,0.3,3.6,0.405,0.339,0.843,19.1,2.0,3.2,35.9,2.0,0.065,2025
Damian Lillard,MIL,PG,58.0,36.1,24.9,4.7,7.1,1.2,0.2,2.8,0.448,0.376,0.921,21.3,7.6,4.0,27.8,3.2,0.175,2025
Anthony Davis,2TM,PF,51.0,33.5,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,26.3,6.7,5.4,30.4,3.2,0.188,2025
Anthony Davis,2TM,PF,51.0,33.5,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,27.1,6.2,6.0,30.2,2.9,0.207,2025
Anthony Davis,2TM,PF,51.0,33.5,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,21.7,0.5,2.5,31.2,0.3,0.088,2025
Anthony Davis,LAL,C,42.0,34.3,25.7,11.9,3.4,1.3,2.1,2.2,0.528,0.298,0.788,26.3,6.7,5.4,30.4,3.2,0.188,2025
Anthony Davis,LAL,C,42.0,34.3,25.7,11.9,3.4,1.3,2.1,2.2,0.528,0.298,0.788,27.1,6.2,6.0,30.2,2.9,0.207,2025
Anthony Davis,LAL,C,42.0,34.3,25.7,11.9,3.4,1.3,2.1,2.2,0.528,0.298,0.788,21.7,0.5,2.5,31.2,0.3,0.088,2025
Anthony Davis,DAL,PF,9.0,29.6,20.0,10.1,4.4,0.6,2.2,2.2,0.461,0.233,0.688,26.3,6.7,5.4,30.4,3.2,0.188,2025
Anthony Davis,DAL,PF,9.0,29.6,20.0,10.1,4.4,0.6,2.2,2.2,0.461,0.233,0.688,27.1,6.2,6.0,30.2,2.9,0.207,2025
Anthony Davis,DAL,PF,9.0,29.6,20.0,10.1,4.4,0.6,2.2,2.2,0.461,0.233,0.688,21.7,0.5,2.5,31.2,0.3,0.088,2025
Kyrie Irving,DAL,SG,50.0,36.1,24.7,4.8,4.6,1.3,0.5,2.2,0.473,0.401,0.916,19.9,4.6,3.4,27.4,2.5,0.124,2025
Zion Williamson,NOP,PF,30.0,28.6,24.6,7.2,5.3,1.2,0.9,3.0,0.567,0.231,0.656,27.3,2.5,7.0,34.7,1.9,0.141,2025
Stephen Curry,GSW,PG,70.0,32.2,24.5,4.4,6.0,1.1,0.4,2.9,0.448,0.397,0.933,21.5,7.9,6.3,29.8,4.8,0.168,2025
LeBron James,LAL,SF,70.0,34.9,24.4,7.8,8.2,1.0,0.6,3.7,0.513,0.376,0.782,22.7,7.7,5.6,30.1,4.7,0.152,2025
Karl-Anthony Towns,NYK,C,72.0,35.0,24.4,12.8,3.1,1.0,0.7,2.7,0.526,0.42,0.829,23.4,10.1,3.6,27.4,3.5,0.193,2025
